soc_name,soc,value,value_rca,skill_name,skill
"Computer programmers","151131",4.12,1.06529,"Reading Comprehension","2.A.1.a"
"Computer programmers","151131",3.62,0.96049,"Active Listening","2.A.1.b"
"Computer programmers","151131",3.38,0.967271,"Writing","2.A.1.c"
"Computer programmers","151131",3.25,0.884635,"Speaking","2.A.1.d"
"Computer programmers","151131",3.25,1.22024,"Mathematics","2.A.1.e"
"Computer programmers","151131",2.62,1.66083,"Science","2.A.1.f"
"Computer programmers","151131",3.75,0.981438,"Critical Thinking","2.A.2.a"
"Computer programmers","151131",3.12,0.922288,"Active Learning","2.A.2.b"
"Computer programmers","151131",2.12,0.703854,"Learning Strategies","2.A.2.c"
"Computer programmers","151131",3.25,0.893957,"Monitoring","2.A.2.d"
"Computer programmers","151131",3.0,0.902465,"Social Perceptiveness","2.B.1.a"
"Computer programmers","151131",3.0,0.874259,"Coordination","2.B.1.b"
"Computer programmers","151131",2.62,0.875273,"Persuasion","2.B.1.c"
"Computer programmers","151131",2.12,0.769018,"Negotiation","2.B.1.d"
"Computer programmers","151131",3.0,0.95862,"Instructing","2.B.1.e"
"Computer programmers","151131",2.88,0.936086,"Service Orientation","2.B.1.f"
"Computer programmers","151131",3.5,1.043,"Complex Problem Solving","2.B.2.i"
"Computer programmers","151131",3.5,1.80764,"Operations Analysis","2.B.3.a"
"Computer programmers","151131",2.25,2.23988,"Technology Design","2.B.3.b"
"Computer programmers","151131",0.5,0.411017,"Equipment Selection","2.B.3.c"
"Computer programmers","151131",0.25,0.605307,"Installation","2.B.3.d"
"Computer programmers","151131",4.75,6.24173,"Programming","2.B.3.e"
"Computer programmers","151131",2.0,0.802392,"Operation Monitoring","2.B.3.g"
"Computer programmers","151131",0.5,0.25087,"Operation and Control","2.B.3.h"
"Computer programmers","151131",0.0,0.0,"Equipment Maintenance","2.B.3.j"
"Computer programmers","151131",1.0,0.577203,"Troubleshooting","2.B.3.k"
"Computer programmers","151131",0.38,0.326949,"Repairing","2.B.3.l"
"Computer programmers","151131",3.88,1.62927,"Quality Control Analysis","2.B.3.m"
"Computer programmers","151131",3.38,0.988762,"Judgment and Decision Making","2.B.4.e"
"Computer programmers","151131",3.25,1.19589,"Systems Analysis","2.B.4.g"
"Computer programmers","151131",3.5,1.29171,"Systems Evaluation","2.B.4.h"
"Computer programmers","151131",3.25,0.987265,"Time Management","2.B.5.a"
"Computer programmers","151131",0.75,0.547695,"Management of Financial Resources","2.B.5.b"
"Computer programmers","151131",0.88,0.566605,"Management of Material Resources","2.B.5.c"
"Computer programmers","151131",2.5,0.892637,"Management of Personnel Resources","2.B.5.d"
