year,naics_name,naics,soc_name,soc,num_ppl,num_ppl_moe,avg_wage,avg_wage_moe
2015,"Museums, art galleries, historical sites, & similar institutions","712","Computer programmers","151131",517,371.498,36359.2,16146.3
2015,"Furniture & related product manufacturing","337","Computer programmers","151131",508,312.964,53309.4,16800.6
2015,"Investigation & security services","5616","Computer programmers","151131",639,379.699,53947.6,17773.8
2015,"Metalworking machinery manufacturing","3335","Computer programmers","151131",972,476.324,55738.1,7928.94
2015,"Libraries & archives","51912","Computer programmers","151131",430,304.178,56299.0,23754.6
2015,"Civic, social, advocacy organizations, & grantmaking & giving services","813M","Computer programmers","151131",1717,750.406,57571.6,17432.2
2015,"Mail-order houses","454113","Computer programmers","151131",638,530.836,58396.6,27497.1
2015,"Broadcasting (except internet)","515","Computer programmers","151131",3616,1411.02,59817.6,8975.66
2015,"Outpatient care centers","6214","Computer programmers","151131",560,371.112,59975.7,10229.7
2015,"Specialized design services","5414","Computer programmers","151131",1213,842.593,60541.4,21217.8
2015,"Colleges, universities & professional schools, including junior colleges","611M1","Computer programmers","151131",19394,2816.51,60694.6,5249.45
2015,"Elementary & secondary schools","6111","Computer programmers","151131",2155,866.7,61239.2,6410.53
2015,"Legal services","5411","Computer programmers","151131",773,466.092,61543.4,17636.1
2015,"Real estate","531","Computer programmers","151131",1010,559.841,61676.9,22194.0
2015,"Printing & related support activities","3231","Computer programmers","151131",1659,749.672,62027.1,6400.84
2015,"Structural metals, & boiler, tank, & shipping container manufacturing ","332M","Computer programmers","151131",1170,698.114,62256.8,17617.4
2015,"Miscellaneous fabricated metal products manufacturing","332MZ","Computer programmers","151131",891,659.702,62415.5,16564.4
2015,"Department stores & discount stores","45211","Computer programmers","151131",1591,969.958,62690.1,15767.5
2015,"Truck transportation","484","Computer programmers","151131",1738,988.348,63208.9,17974.0
2015,"Other professional, scientific & technical services ","5419Z","Computer programmers","151131",1845,908.333,63367.4,12693.3
2015,"Amusement & Recreation","713Z","Computer programmers","151131",1222,567.53,63427.5,16748.5
2015,"Justice, public order, & safety activities ","92MP","Computer programmers","151131",3897,1222.61,63588.7,5327.99
2015,"Offices of physicians","6211","Computer programmers","151131",1007,548.157,63804.5,15934.1
2015,"Individual & family services","6241","Computer programmers","151131",1291,699.366,64837.7,17249.2
2015,"Clothing stores","4481","Computer programmers","151131",507,412.092,65185.6,22604.9
2015,"Advertising, public relations & related services","5418","Computer programmers","151131",3347,1319.66,65262.6,18130.0
2015,"Machine shops; turned product; screw, nut & bolt manufacturing  ","3327","Computer programmers","151131",1657,625.123,65411.5,11026.1
2015,"Warehousing & storage","493","Computer programmers","151131",419,321.842,66109.7,32480.5
2015,"Other schools & instruction and educational support services","611M3","Computer programmers","151131",1851,836.226,67125.7,16421.3
2015,"Business support services","5614","Computer programmers","151131",2306,1060.77,67833.0,5816.61
2015,"Administration of economic programs & space research","92M2","Computer programmers","151131",2579,965.592,68209.4,7154.24
2015,"Motor vehicle & motor vehicle parts & supplies merchant wholesalers","4231","Computer programmers","151131",429,367.189,68363.9,27491.4
2015,"Not specified retail trade","4MS","Computer programmers","151131",823,593.063,68457.0,18350.0
2015,"Telecommunications, except wired telecommunications carriers ","517Z","Computer programmers","151131",3452,1250.51,69832.8,17249.5
2015,"Professional & commercial equipment & supplies merchant wholesalers","4234","Computer programmers","151131",1958,889.579,70116.6,16814.0
2015,"Household appliances & electrical & electronic goods merchant wholesalers","4236","Computer programmers","151131",1109,589.081,70710.2,15644.3
2015,"Electric lighting & electrical equipment manufacturing, & other electrical component manufacturing, n.e.c.","335M","Computer programmers","151131",1251,630.285,71401.1,9107.12
2015,"Software publishing","5112","Computer programmers","151131",4689,1875.17,72027.8,18980.0
2015,"Motor vehicles & motor vehicle equipment manufacturing","336M","Computer programmers","151131",3327,1112.34,72049.7,7898.73
2015,"Construction, & mining & oil & gas field machinery manufacturing ","3331M","Computer programmers","151131",509,403.162,72102.8,18180.1
2015,"Construction","23","Computer programmers","151131",3348,1120.36,72118.8,11593.5
