year,soc_name,soc,race_name,race,num_ppl,num_ppl_moe
2014,"Computer programmers","151131","White","1",315918,10765.0
2014,"Computer programmers","151131","Black or African American","2",14255,2312.5
2014,"Computer programmers","151131","American Indian","3",907,614.24
2014,"Computer programmers","151131","Asian","6",85205,6178.95
2014,"Computer programmers","151131","Native Hawaiian or Other Pacific Islander","7",370,424.06
2014,"Computer programmers","151131","Unknown","8",4195,1383.08
2014,"Computer programmers","151131","Two or more races","9",9273,2021.84
2015,"Computer programmers","151131","White","1",302807,11179.5
2015,"Computer programmers","151131","Black or African American","2",24450,4252.59
2015,"Computer programmers","151131","American Indian","3",816,464.601
2015,"Computer programmers","151131","Alaska Native","4",49,94.5532
2015,"Computer programmers","151131","Asian","6",83742,7224.06
2015,"Computer programmers","151131","Native Hawaiian or Other Pacific Islander","7",80,136.678
2015,"Computer programmers","151131","Unknown","8",5511,1635.75
2015,"Computer programmers","151131","Two or more races","9",9009,1960.69
2016,"Computer programmers","151131","White","1",298060,9691.94
2016,"Computer programmers","151131","Black or African American","2",20027,3368.22
2016,"Computer programmers","151131","American Indian","3",1188,651.524
2016,"Computer programmers","151131","Other Native American","5",501,538.309
2016,"Computer programmers","151131","Asian","6",87718,6858.86
2016,"Computer programmers","151131","Native Hawaiian or Other Pacific Islander","7",320,273.557
2016,"Computer programmers","151131","Unknown","8",5927,1732.71
2016,"Computer programmers","151131","Two or more races","9",8694,1740.88
