year,soc_name,soc,avg_wage,avg_wage_moe,avg_wage_rank
2016,"Physicians & surgeons","291060",227381.0,3375.9,1.0
2015,"Physicians & surgeons","291060",216097.0,3457.15,1.0
2014,"Physicians & surgeons","291060",207834.0,3131.0,1.0
2016,"Chief executives & legislators","1110XX",167107.0,2708.51,2.0
2015,"Dentists","291020",165731.0,6191.58,2.0
2016,"Dentists","291020",164756.0,6637.82,3.0
2014,"Dentists","291020",162761.0,6977.28,2.0
2015,"Chief executives & legislators","1110XX",162724.0,2631.55,3.0
2014,"Podiatrists","291081",156073.0,28174.3,3.0
2015,"Nurse anesthetists","291151",155320.0,9268.17,4.0
2016,"Lawyers, & judges, magistrates, & other judicial workers","2310XX",155300.0,2784.55,4.0
2014,"Chief executives & legislators","1110XX",153964.0,2442.91,4.0
2016,"Petroleum, mining & geological engineers, including mining safety engineers","1721XX",153268.0,15041.9,5.0
2014,"Nurse anesthetists","291151",152778.0,8171.75,5.0
2015,"Lawyers, & judges, magistrates, & other judicial workers","2310XX",151638.0,2874.45,5.0
2016,"Podiatrists","291081",151142.0,23119.6,6.0
2016,"Actuaries","152011",150189.0,24983.0,7.0
2015,"Podiatrists","291081",149906.0,27679.4,6.0
2014,"Lawyers, & judges, magistrates, & other judicial workers","2310XX",149144.0,2632.88,6.0
2016,"Nurse anesthetists","291151",148349.0,6856.04,8.0
2016,"Architectural & engineering managers","119041",147789.0,4431.64,9.0
2015,"Architectural & engineering managers","119041",145556.0,4571.51,7.0
2014,"Architectural & engineering managers","119041",143592.0,3987.72,7.0
2016,"Securities, commodities, & financial services sales agents","413031",142171.0,6591.25,10.0
2015,"Securities, commodities, & financial services sales agents","413031",137112.0,7070.29,8.0
2015,"Petroleum, mining & geological engineers, including mining safety engineers","1721XX",135251.0,12309.7,9.0
2016,"Personal financial advisors","132052",133515.0,4871.47,11.0
2014,"Petroleum, mining & geological engineers, including mining safety engineers","1721XX",133053.0,9186.02,8.0
2015,"Economists","193011",129207.0,13956.0,10.0
2014,"Securities, commodities, & financial services sales agents","413031",128574.0,6147.1,9.0
2015,"Actuaries","152011",128374.0,13065.7,11.0
2016,"Economists","193011",127219.0,13198.5,12.0
2014,"Actuaries","152011",127003.0,8097.66,10.0
2016,"Sales engineers","419031",126401.0,8694.53,13.0
2015,"Personal financial advisors","132052",125787.0,4598.16,12.0
2014,"Personal financial advisors","132052",125046.0,4735.72,11.0
2016,"Aircraft pilots & flight engineers","532010",122271.0,5029.67,14.0
2014,"Economists","193011",119430.0,13868.0,12.0
2015,"Aircraft pilots & flight engineers","532010",118880.0,4768.45,13.0
2014,"Aircraft pilots & flight engineers","532010",116347.0,4817.98,13.0
2016,"Optometrists","291041",115750.0,8131.44,15.0
