year,geo_name,geo,soc_name,soc,avg_wage,avg_wage_moe
2014,"Huntsville City (Far West & Southwest) PUMA, AL","79500US0100200","Computer programmers","151131",91997.0,27824.9
2014,"Huntsville (North) & Madison (East) Cities PUMA","79500US0100301","Computer programmers","151131",88737.2,10281.7
2014,"Huntsville City (Central & South) PUMA","79500US0100302","Computer programmers","151131",81644.8,33717.9
2014,"DeKalb & Jackson Counties PUMA","79500US0100400","Computer programmers","151131",31703.7,26379.8
2014,"Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast) PUMA","79500US0100500","Computer programmers","151131",69876.0,48010.8
2014,"Decatur City PUMA, AL","79500US0100600","Computer programmers","151131",56301.2,25144.2
2014,"St. Clair & Blount Counties PUMA, AL","79500US0100800","Computer programmers","151131",61799.9,9192.8
2014,"Calhoun County PUMA","79500US0101100","Computer programmers","151131",97753.3,21970.4
2014,"Shelby County PUMA, AL","79500US0101200","Computer programmers","151131",85287.0,5153.11
2014,"Hoover (North), Vestavia Hills & Homewood Cities PUMA, AL","79500US0101303","Computer programmers","151131",85446.3,8892.02
2014,"Trussville, Center Point & Gardendale Cities PUMA, AL","79500US0101304","Computer programmers","151131",76884.2,8637.68
2014,"Tuscaloosa (Outer) & Pickens Counties--Northport City (North & West) PUMA","79500US0101500","Computer programmers","151131",77491.3,15699.0
2014,"Chilton, Tallapoosa, Chambers & Coosa Counties PUMA","79500US0101800","Computer programmers","151131",69350.6,11704.6
2014,"Auburn City PUMA, AL","79500US0101900","Computer programmers","151131",59058.3,19735.5
2014,"Montgomery City & Pike Road Town (North) PUMA, AL","79500US0102000","Computer programmers","151131",53404.6,9054.69
2014,"Elmore, Autauga, Montgomery (Outer) & Lowndes Counties PUMA, AL","79500US0102100","Computer programmers","151131",68400.4,12806.6
2014,"Coffee, Covington, Butler & Crenshaw Counties PUMA","79500US0102300","Computer programmers","151131",55761.0,2871.96
2014,"Dothan City PUMA, AL","79500US0102500","Computer programmers","151131",44454.0,12393.2
2014,"Mobile City (West) PUMA","79500US0102702","Computer programmers","151131",56580.1,11125.5
2014,"Prichard City, Tillmans Corner & Saraland City PUMA, AL","79500US0102703","Computer programmers","151131",55443.1,9506.04
2014,"Anchorage Municipality (South) PUMA, AK","79500US0200102","Computer programmers","151131",91946.1,5394.03
2014,"Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska PUMA, AK","79500US0200300","Computer programmers","151131",89711.8,23404.3
2014,"Maricopa County--Gilbert (South) & Queen Creek Towns PUMA","79500US0400100","Computer programmers","151131",78865.4,10529.8
2014,"Mesa City (East) PUMA, AZ","79500US0400101","Computer programmers","151131",58429.3,22225.9
2014,"Maricopa County--Mesa City (North Central) PUMA","79500US0400102","Computer programmers","151131",69193.1,20350.0
2014,"Maricopa County--Mesa City (West) PUMA","79500US0400103","Computer programmers","151131",105449.0,33391.8
2014,"Gilbert Town (North) PUMA, AZ","79500US0400105","Computer programmers","151131",55912.9,35849.5
2014,"Maricopa County--Chandler City (Northeast) PUMA","79500US0400106","Computer programmers","151131",74148.4,11919.7
2014,"Maricopa County--Chandler City (South) PUMA","79500US0400107","Computer programmers","151131",84697.2,14714.6
2014,"Tempe (South) & Chandler (Northwest) Cities PUMA, AZ","79500US0400108","Computer programmers","151131",81078.9,12469.7
2014,"Tempe City (North) PUMA, AZ","79500US0400109","Computer programmers","151131",50757.3,19922.3
2014,"Maricopa County--Scottsdale City (Southwest) & Paradise Valley Town PUMA","79500US0400110","Computer programmers","151131",49921.5,14917.1
2014,"Maricopa County (Northeast)--Scottsdale City (Southeast) & Fountain Hills Town PUMA","79500US0400111","Computer programmers","151131",86537.9,8336.37
2014,"Maricopa County--Scottsdale (North), Phoenix (Far Northeast) Cities & Cave Creek PUMA","79500US0400112","Computer programmers","151131",142025.0,52515.5
2014,"Phoenix City (Northeast) PUMA","79500US0400113","Computer programmers","151131",71809.1,16450.8
2014,"Phoenix City (Northeast Central) PUMA","79500US0400114","Computer programmers","151131",77346.6,12312.9
2014,"Phoenix City (Northwest Central) PUMA","79500US0400115","Computer programmers","151131",63773.9,11207.1
2014,"Phoenix City (Uptown) PUMA","79500US0400116","Computer programmers","151131",64332.7,15268.3
2014,"Phoenix City (East) PUMA","79500US0400117","Computer programmers","151131",75799.6,41501.8
2014,"Phoenix City--Downtown & Sky Harbor International Airport PUMA","79500US0400118","Computer programmers","151131",72992.6,17483.2
2014,"Phoenix City (South) PUMA","79500US0400119","Computer programmers","151131",42672.0,11442.7
2014,"Phoenix City--Ahwatukee & South Mountain PUMA","79500US0400120","Computer programmers","151131",95688.1,12873.8
2014,"Phoenix City (West) PUMA","79500US0400125","Computer programmers","151131",58162.7,9864.98
2014,"Maricopa County--Glendale City (North) PUMA","79500US0400126","Computer programmers","151131",71770.1,7400.2
