year,soc_name,soc,sex_name,sex,age,num_ppl,num_ppl_moe
2014,"Computer programmers","151131","Male","1",16,113,89.7
2014,"Computer programmers","151131","Female","2",16,14,19.8221
2014,"Computer programmers","151131","Male","1",17,191,113.384
2014,"Computer programmers","151131","Female","2",17,88,66.0617
2014,"Computer programmers","151131","Male","1",18,603,232.202
2014,"Computer programmers","151131","Female","2",18,15,20.6642
2014,"Computer programmers","151131","Male","1",19,860,253.425
2014,"Computer programmers","151131","Female","2",19,329,148.475
2014,"Computer programmers","151131","Male","1",20,1719,462.79
2014,"Computer programmers","151131","Female","2",20,468,246.002
2014,"Computer programmers","151131","Male","1",21,2813,626.697
2014,"Computer programmers","151131","Female","2",21,655,275.073
2014,"Computer programmers","151131","Male","1",22,3921,625.558
2014,"Computer programmers","151131","Female","2",22,736,223.142
2014,"Computer programmers","151131","Male","1",23,5285,754.982
2014,"Computer programmers","151131","Female","2",23,964,265.356
2014,"Computer programmers","151131","Male","1",24,5437,782.871
2014,"Computer programmers","151131","Female","2",24,1119,323.092
2014,"Computer programmers","151131","Male","1",25,5325,725.181
2014,"Computer programmers","151131","Female","2",25,1419,444.26
2014,"Computer programmers","151131","Male","1",26,8127,848.436
2014,"Computer programmers","151131","Female","2",26,1198,266.989
2014,"Computer programmers","151131","Male","1",27,7663,810.711
2014,"Computer programmers","151131","Female","2",27,1652,390.866
2014,"Computer programmers","151131","Male","1",28,9118,941.724
2014,"Computer programmers","151131","Female","2",28,1759,389.855
2014,"Computer programmers","151131","Male","1",29,8609,943.153
2014,"Computer programmers","151131","Female","2",29,2068,537.244
2014,"Computer programmers","151131","Male","1",30,10645,1043.24
2014,"Computer programmers","151131","Female","2",30,1964,424.598
2014,"Computer programmers","151131","Male","1",31,8968,885.268
2014,"Computer programmers","151131","Female","2",31,1949,429.508
2014,"Computer programmers","151131","Male","1",32,9192,965.378
2014,"Computer programmers","151131","Female","2",32,2086,476.35
2014,"Computer programmers","151131","Male","1",33,9233,829.504
2014,"Computer programmers","151131","Female","2",33,1968,455.544
2014,"Computer programmers","151131","Male","1",34,8997,1121.46
2014,"Computer programmers","151131","Female","2",34,2024,413.133
2014,"Computer programmers","151131","Male","1",35,9157,919.627
2014,"Computer programmers","151131","Female","2",35,2280,548.728
2014,"Computer programmers","151131","Male","1",36,8551,833.204
2014,"Computer programmers","151131","Female","2",36,2291,453.194
2014,"Computer programmers","151131","Male","1",37,8832,754.815
2014,"Computer programmers","151131","Female","2",37,1943,437.434
2014,"Computer programmers","151131","Male","1",38,8960,990.082
2014,"Computer programmers","151131","Female","2",38,2155,475.82
2014,"Computer programmers","151131","Male","1",39,9905,979.747
2014,"Computer programmers","151131","Female","2",39,2478,484.47
2014,"Computer programmers","151131","Male","1",40,10229,931.741
2014,"Computer programmers","151131","Female","2",40,2451,476.575
2014,"Computer programmers","151131","Male","1",41,9025,861.028
2014,"Computer programmers","151131","Female","2",41,2861,522.898
2014,"Computer programmers","151131","Male","1",42,10802,1163.98
2014,"Computer programmers","151131","Female","2",42,2423,454.559
2014,"Computer programmers","151131","Male","1",43,9415,956.274
2014,"Computer programmers","151131","Female","2",43,2299,419.603
2014,"Computer programmers","151131","Male","1",44,8419,693.009
2014,"Computer programmers","151131","Female","2",44,2974,551.234
2014,"Computer programmers","151131","Male","1",45,9197,895.134
2014,"Computer programmers","151131","Female","2",45,3499,585.48
2014,"Computer programmers","151131","Male","1",46,8408,736.661
2014,"Computer programmers","151131","Female","2",46,2715,441.027
2014,"Computer programmers","151131","Male","1",47,9228,879.161
2014,"Computer programmers","151131","Female","2",47,3369,441.947
2014,"Computer programmers","151131","Male","1",48,8619,732.115
2014,"Computer programmers","151131","Female","2",48,3820,526.185
2014,"Computer programmers","151131","Male","1",49,8110,689.561
2014,"Computer programmers","151131","Female","2",49,3023,486.74
2014,"Computer programmers","151131","Male","1",50,8736,828.752
2014,"Computer programmers","151131","Female","2",50,3619,445.408
2014,"Computer programmers","151131","Male","1",51,8967,871.89
2014,"Computer programmers","151131","Female","2",51,3834,511.891
2014,"Computer programmers","151131","Male","1",52,6276,670.209
2014,"Computer programmers","151131","Female","2",52,3291,412.06
2014,"Computer programmers","151131","Male","1",53,7439,796.047
2014,"Computer programmers","151131","Female","2",53,2917,405.715
2014,"Computer programmers","151131","Male","1",54,7871,812.702
2014,"Computer programmers","151131","Female","2",54,2778,401.734
2014,"Computer programmers","151131","Male","1",55,6236,647.628
2014,"Computer programmers","151131","Female","2",55,2657,467.679
2014,"Computer programmers","151131","Male","1",56,6571,654.554
2014,"Computer programmers","151131","Female","2",56,1959,324.756
2014,"Computer programmers","151131","Male","1",57,6553,608.708
2014,"Computer programmers","151131","Female","2",57,2292,357.366
2014,"Computer programmers","151131","Male","1",58,5126,568.877
2014,"Computer programmers","151131","Female","2",58,1806,403.542
2014,"Computer programmers","151131","Male","1",59,4619,541.065
2014,"Computer programmers","151131","Female","2",59,1519,297.179
2014,"Computer programmers","151131","Male","1",60,4512,559.99
2014,"Computer programmers","151131","Female","2",60,1630,282.89
2014,"Computer programmers","151131","Male","1",61,4002,534.657
2014,"Computer programmers","151131","Female","2",61,1412,271.629
2014,"Computer programmers","151131","Male","1",62,3704,486.16
2014,"Computer programmers","151131","Female","2",62,1286,265.091
2014,"Computer programmers","151131","Male","1",63,3266,514.383
2014,"Computer programmers","151131","Female","2",63,707,224.68
2014,"Computer programmers","151131","Male","1",64,2417,380.873
2014,"Computer programmers","151131","Female","2",64,803,221.043
2014,"Computer programmers","151131","Male","1",65,2173,380.617
2014,"Computer programmers","151131","Female","2",65,580,213.548
2014,"Computer programmers","151131","Male","1",66,1563,306.305
2014,"Computer programmers","151131","Female","2",66,380,139.401
2014,"Computer programmers","151131","Male","1",67,1321,249.619
2014,"Computer programmers","151131","Female","2",67,215,92.7924
2014,"Computer programmers","151131","Male","1",68,879,239.822
