year,naics_name,naics,soc_name,soc,num_ppl,num_ppl_moe,avg_wage,avg_wage_moe
2014,"Construction","23","Computer programmers","151131",2278,1142.29,88252.7,17816.3
2014,"Construction","23","Computer programmers","151131",2278,1142.29,88252.7,17816.3
2014,"Construction","23","Computer programmers","151131",2278,1142.29,88252.7,17816.3
2014,"Management of companies & enterprises","55","Computer programmers","151131",750,458.019,83617.3,16528.4
2014,"Management of companies & enterprises","55","Computer programmers","151131",750,458.019,83617.3,16528.4
2014,"Farming","111","Computer programmers","151131",124,160.889,63107.9,68850.8
2014,"Oil & gas extraction","211","Computer programmers","151131",175,161.994,105700.0,88252.6
2014,"Support activities for mining","213","Computer programmers","151131",689,446.508,79898.3,26291.0
2014,"Furniture & related product manufacturing","337","Computer programmers","151131",542,411.439,54367.9,12957.8
2014,"Furniture & home furnishings stores","442","Computer programmers","151131",754,561.811,82320.4,22614.6
2014,"Gasoline stations","447","Computer programmers","151131",310,397.34,62782.6,27085.6
2014,"Air transportation","481","Computer programmers","151131",784,534.898,67869.3,16167.8
2014,"Rail transportation","482","Computer programmers","151131",405,351.218,96022.0,7311.28
2014,"Truck transportation","484","Computer programmers","151131",621,394.556,65792.8,8466.99
2014,"Pipeline transportation","486","Computer programmers","151131",199,235.592,93925.4,9820.18
2014,"Services incidental to transportation","488","Computer programmers","151131",1443,858.455,80196.0,14326.8
2014,"Postal Service","491","Computer programmers","151131",554,838.371,65547.6,0.0
2014,"Couriers & messengers","492","Computer programmers","151131",2959,1055.83,87312.8,5670.84
2014,"Warehousing & storage","493","Computer programmers","151131",95,118.665,95800.4,9.27111e-12
2014,"Broadcasting (except internet)","515","Computer programmers","151131",3643,1343.7,77409.6,34611.7
2014,"Insurance carriers & related activities","524","Computer programmers","151131",25516,3268.08,82196.5,3149.33
2014,"Real estate","531","Computer programmers","151131",2276,1102.56,59394.1,13367.7
2014,"Waste management & remediation services","562","Computer programmers","151131",214,331.515,30252.8,5.67737e-12
2014,"Hospitals","622","Computer programmers","151131",8289,1909.62,73279.6,6341.89
2014,"Performing arts, spectator sports & related industries","711","Computer programmers","151131",407,375.451,69915.8,34531.5
2014,"Museums, art galleries, historical sites, & similar institutions","712","Computer programmers","151131",459,459.978,62663.8,25712.6
2014,"Administration of human resource programs","923","Computer programmers","151131",3103,950.067,74252.7,7996.78
2014,"Coal mining","2121","Computer programmers","151131",71,115.74,121011.0,3.66961e-11
2014,"Metal ore mining","2122","Computer programmers","151131",404,630.916,151264.0,0.0
2014,"Sugar & confectionery products","3113","Computer programmers","151131",42,70.9184,110927.0,4.18057e-11
2014,"Dairy product manufacturing","3115","Computer programmers","151131",128,157.485,63641.1,10580.9
2014,"Animal slaughtering & processing","3116","Computer programmers","151131",317,300.372,81221.2,19840.5
2014,"Beverage manufacturing","3121","Computer programmers","151131",283,464.375,71598.2,0.0
2014,"Tobacco manufacturing","3122","Computer programmers","151131",60,100.599,110927.0,1.31113e-11
2014,"Cut & sew apparel manufacturing","3152","Computer programmers","151131",290,331.132,88115.5,32331.5
2014,"Footwear manufacturing","3162","Computer programmers","151131",184,219.037,85716.1,5.35268e-12
2014,"Sawmills & wood preservation","3211","Computer programmers","151131",276,345.375,75631.9,0.0
2014,"Veneer, plywood, & engineered wood products ","3212","Computer programmers","151131",59,109.258,64539.2,1.10348e-11
2014,"Pulp, paper, & paperboard mills ","3221","Computer programmers","151131",220,259.269,103849.0,9832.1
2014,"Printing & related support activities","3231","Computer programmers","151131",3402,1309.14,68602.0,11374.6
2014,"Resin, synthetic rubber, & fibers & filaments manufacturing   ","3252","Computer programmers","151131",59,98.4674,57480.2,1.00139e-11
2014,"Agricultural chemical manufacturing","3253","Computer programmers","151131",49,79.3847,92775.1,1.31113e-11
2014,"Pharmaceutical & medicine manufacturing","3254","Computer programmers","151131",2720,1044.41,92191.5,15487.4
2014,"Paint, coating, & adhesive manufacturing ","3255","Computer programmers","151131",124,204.35,78657.1,0.0
2014,"Soap, cleaning compound, & cosmetics manufacturing ","3256","Computer programmers","151131",578,507.585,100895.0,26921.3
2014,"Plastics product manufacturing","3261","Computer programmers","151131",854,514.027,85756.3,9625.01
2014,"Glass & glass product manufacturing","3272","Computer programmers","151131",270,302.169,25445.9,22890.5
2014,"Miscellaneous nonmetallic mineral product manufacturing","3279","Computer programmers","151131",182,234.829,108295.0,25050.0
2014,"Aluminum production & processing","3313","Computer programmers","151131",128,173.276,35420.9,3180.24
2014,"Nonferrous metal (except aluminum) production & processing","3314","Computer programmers","151131",12,24.8008,80674.0,0.0
2014,"Foundries","3315","Computer programmers","151131",190,223.496,57798.7,3253.16
2014,"Metal forgings & stampings","3321","Computer programmers","151131",57,91.2834,34790.7,0.0
2014,"Cutlery & hand tool manufacturing","3322","Computer programmers","151131",41,65.8822,50421.2,5.35268e-12
2014,"Machine shops; turned product; screw, nut & bolt manufacturing  ","3327","Computer programmers","151131",996,540.607,52997.8,9206.76
2014,"Commercial & service industry machinery manufacturing","3333","Computer programmers","151131",2203,1209.3,99271.2,55568.7
2014,"Metalworking machinery manufacturing","3335","Computer programmers","151131",851,559.935,64370.9,13041.1
2014,"Engine, turbine, & power transmission equipment manufacturing ","3336","Computer programmers","151131",758,913.348,56900.2,3821.1
2014,"Computer & peripheral equipment manufacturing","3341","Computer programmers","151131",3229,1046.34,107524.0,16286.1
2014,"Navigational, measuring, electromedical, & control instruments manufacturing","3345","Computer programmers","151131",2405,973.685,79461.4,10824.3
2014,"Household appliance manufacturing","3352","Computer programmers","151131",107,119.922,74623.5,1.51397e-11
2014,"Ship & boat building","3366","Computer programmers","151131",398,353.169,84408.7,11079.0
2014,"Other transportation equipment manufacturing","3369","Computer programmers","151131",107,173.202,52438.1,9.27111e-12
2014,"Medical equipment & supplies manufacturing","3391","Computer programmers","151131",2158,824.629,89582.5,25275.6
2014,"Motor vehicle & motor vehicle parts & supplies merchant wholesalers","4231","Computer programmers","151131",323,249.468,78981.8,8808.1
2014,"Lumber & other construction materials merchant wholesalers","4233","Computer programmers","151131",309,492.158,55463.4,2.05573e-11
2014,"Professional & commercial equipment & supplies merchant wholesalers","4234","Computer programmers","151131",2897,1103.2,70172.4,9799.38
2014,"Metals & minerals (except petroleum) merchant wholesalers","4235","Computer programmers","151131",146,173.095,104876.0,2.56705e-11
2014,"Household appliances & electrical & electronic goods merchant wholesalers","4236","Computer programmers","151131",1369,639.971,72708.2,17800.0
2014,"Hardware, & plumbing & heating equipment, & supplies merchant wholesalers","4237","Computer programmers","151131",416,316.165,101371.0,18818.1
2014,"Machinery, equipment, & supplies merchant wholesalers     ","4238","Computer programmers","151131",467,339.494,75331.7,19364.1
2014,"Apparel, piece goods, & notions merchant wholesalers","4243","Computer programmers","151131",212,247.587,74989.7,21692.4
2014,"Grocery & related product merchant wholesalers","4244","Computer programmers","151131",608,499.768,65816.3,23307.2
2014,"Farm product raw material merchant wholesalers","4245","Computer programmers","151131",93,155.143,100842.0,7.56983e-12
2014,"Petroleum & petroleum products merchant wholesalers","4247","Computer programmers","151131",92,155.186,141180.0,0.0
2014,"Alcoholic beverages merchant wholesalers","4248","Computer programmers","151131",63,104.853,70589.8,0.0
2014,"Wholesale electronic markets & agents & brokers","4251","Computer programmers","151131",315,507.797,121011.0,3.59069e-11
2014,"Car Dealers","4411","Computer programmers","151131",528,559.825,89360.2,26030.5
2014,"Automotive parts, accessories, & tire stores  ","4413","Computer programmers","151131",114,137.737,55976.4,5168.82
2014,"Lawn & garden equipment & supplies stores","4442","Computer programmers","151131",56,101.399,55463.4,9.64968e-12
2014,"Grocery Stores","4451","Computer programmers","151131",777,519.686,77093.2,10145.7
2014,"Specialty food stores","4452","Computer programmers","151131",101,166.67,67564.5,0.0
2014,"Beer, wine, & liquor stores ","4453","Computer programmers","151131",482,622.411,57181.0,1546.82
2014,"Clothing stores","4481","Computer programmers","151131",784,682.325,91663.8,20714.6
2014,"Miscellaneous general merchandise stores","4529","Computer programmers","151131",108,125.132,96808.8,2.27095e-11
2014,"Miscellaneous retail stores","4539","Computer programmers","151131",86,141.232,70589.8,0.0
2014,"Software publishing","5112","Computer programmers","151131",5903,1670.21,87821.6,11825.5
2014,"Motion pictures & video industries","5121","Computer programmers","151131",1144,1047.04,95877.1,34377.7
2014,"Wired telecommunications carriers","5171","Computer programmers","151131",3974,1036.25,86633.3,10707.1
2014,"Data processing, hosting & related services","5182","Computer programmers","151131",3695,1031.19,75765.3,12774.9
2014,"Automotive equipment rental & leasing","5321","Computer programmers","151131",322,273.702,89114.1,48093.7
2014,"Legal services","5411","Computer programmers","151131",498,487.01,83938.2,35063.5
2014,"Accounting, tax preparation, bookkeeping & payroll services","5412","Computer programmers","151131",2137,903.13,78049.0,15170.2
2014,"Architectural, engineering & related services","5413","Computer programmers","151131",7749,1727.18,71064.7,8075.35
2014,"Specialized design services","5414","Computer programmers","151131",1077,656.323,63785.9,26203.0
2014,"Computer Systems Design","5415","Computer programmers","151131",123742,6996.93,82309.9,3640.23
2014,"Management, scientific & technical consulting services","5416","Computer programmers","151131",11866,2362.45,83050.3,5891.54
2014,"Scientific research & development services","5417","Computer programmers","151131",6470,1495.21,78303.7,9459.13
