year,soc_name,soc,cip_name,cip,degree_name,degree,num_ppl,num_ppl_moe,num_ppl_rca
2014,"Computer programmers","151131","Agriculture","01","Bachelor's degree","21",380,319.282,0.731445
2014,"Computer programmers","151131","Natural Resources & Conservation","03","Bachelor's degree","21",626,425.729,1.15428
2014,"Computer programmers","151131","Architecture and Related Services","04","Bachelor's degree","21",426,242.473,0.794788
2014,"Computer programmers","151131","Communications","09","Bachelor's degree","21",4427,1406.41,1.32766
2014,"Computer programmers","151131","Communication Technologies","10","Bachelor's degree","21",750,453.547,1.57838
2014,"Computer programmers","151131","Computer and Information Sciences and Support Services","11","Bachelor's degree","21",90732,6438.97,1.22928
2014,"Computer programmers","151131","Education","13","Bachelor's degree","21",2873,1222.8,0.994014
2014,"Computer programmers","151131","Engineering","14","Bachelor's degree","21",33428,3893.69,0.991565
2014,"Computer programmers","151131","Engineering Technologies","15","Bachelor's degree","21",3780,1539.48,1.19135
2014,"Computer programmers","151131","Language & Linguistics","16","Bachelor's degree","21",273,220.321,0.312925
2014,"Computer programmers","151131","Human Sciences","19","Bachelor's degree","21",226,258.514,0.900794
2014,"Computer programmers","151131","Legal","22","Bachelor's degree","21",116,181.826,1.57838
2014,"Computer programmers","151131","English","23","Bachelor's degree","21",3143,1212.44,0.950902
2014,"Computer programmers","151131","Liberal Arts & Humanities","24","Bachelor's degree","21",1815,908.226,1.21853
2014,"Computer programmers","151131","Biology","26","Bachelor's degree","21",3845,1012.33,0.876372
2014,"Computer programmers","151131","Math & Statistics","27","Bachelor's degree","21",9126,1716.5,0.854602
2014,"Computer programmers","151131","Interdisciplinary Studies","30","Bachelor's degree","21",1560,735.225,1.32666
2014,"Computer programmers","151131","Parks, Recreation, & Leisure","31","Bachelor's degree","21",469,354.362,1.24623
2014,"Computer programmers","151131","Philosophy and Religious Studies","38","Bachelor's degree","21",423,295.966,1.02244
2014,"Computer programmers","151131","Theology","39","Bachelor's degree","21",164,240.65,0.440229
2014,"Computer programmers","151131","Physical Sciences","40","Bachelor's degree","21",4076,1274.92,0.641872
2014,"Computer programmers","151131","Science Technologies","41","Bachelor's degree","21",100,162.71,1.57838
2014,"Computer programmers","151131","Psychology","42","Bachelor's degree","21",3560,935.133,1.07315
2014,"Computer programmers","151131","Protective Services","43","Bachelor's degree","21",1241,795.59,1.25562
2014,"Computer programmers","151131","Public Administration and Social Service","44","Bachelor's degree","21",525,346.874,0.944869
2014,"Computer programmers","151131","Social Sciences","45","Bachelor's degree","21",7230,1553.62,1.07364
2014,"Computer programmers","151131","Construction","46","Bachelor's degree","21",347,425.012,1.57838
2014,"Computer programmers","151131","Transportation","49","Bachelor's degree","21",395,351.729,1.33218
2014,"Computer programmers","151131","Visual & Performing Arts","50","Bachelor's degree","21",6051,1678.01,1.264
2014,"Computer programmers","151131","Health","51","Bachelor's degree","21",2119,792.172,1.19237
2014,"Computer programmers","151131","Business","52","Bachelor's degree","21",31240,3159.76,1.254
2014,"Computer programmers","151131","History","54","Bachelor's degree","21",2105,940.818,1.34242
2014,"Computer programmers","151131","Multidisciplinary or General Science","GS","Bachelor's degree","21",1378,762.31,1.22674
2015,"Computer programmers","151131","Agriculture","01","Bachelor's degree","21",442,305.999,0.73419
2015,"Computer programmers","151131","Natural Resources & Conservation","03","Bachelor's degree","21",188,198.479,0.811073
2015,"Computer programmers","151131","Architecture and Related Services","04","Bachelor's degree","21",533,315.87,1.00396
2015,"Computer programmers","151131","Communications","09","Bachelor's degree","21",3522,1273.32,1.2668
2015,"Computer programmers","151131","Communication Technologies","10","Bachelor's degree","21",346,316.37,1.00524
2015,"Computer programmers","151131","Computer and Information Sciences and Support Services","11","Bachelor's degree","21",95730,6517.98,1.24844
2015,"Computer programmers","151131","Education","13","Bachelor's degree","21",2635,971.749,1.01599
2015,"Computer programmers","151131","Engineering","14","Bachelor's degree","21",36851,4255.61,0.989899
2015,"Computer programmers","151131","Engineering Technologies","15","Bachelor's degree","21",2257,824.303,0.892983
2015,"Computer programmers","151131","Language & Linguistics","16","Bachelor's degree","21",755,441.798,1.08873
2015,"Computer programmers","151131","Human Sciences","19","Bachelor's degree","21",644,702.968,1.57469
2015,"Computer programmers","151131","Legal","22","Bachelor's degree","21",96,163.82,1.57469
